,sentiment,content
16405,empty,wants to go home.
16417,empty,wants to increased my karma ~  http://plurk.com/p/suiva
16447,empty,I'm trying to find the driver for my Microsoft Lifecam VX-3000 Webcam and can't find it anywhere! anyone have any links?
16480,empty,Up way way way to early this am....thanks @shane_benson
16593,empty,soo tired  don't wanna go out in this Houston heat!
16599,empty,@brinathemodel  sa'weee
16600,empty,"@MTVwebmaster  Cant Thank YOu Enough, WHo is NITIN BETWEEN?"
16701,empty,"I just put my computer up on craigslist. I've had the same case, monitor, and speakers for over 5 years."
16749,empty,@DonnieWahlberg lol i wos gona send mine in bt i was too late  xx
16857,empty,I can't upload a picture. Everything's too big
16895,empty,My besties. If only @ddlovato was there.  on Twitpic http://ff.im/-3o32G
16969,empty,@LenaSvenson Thought you might be interested in @TweetPhoto http://tweetphoto.com. See who's viewing your photos!
16979,empty,@femiknitzi Three-quarters through I believe. Will not finish tonight.  I blame errands and a certain loud at a bookstore.
17113,empty,goin to bed w/smokey!!!!!
17138,empty,@WhoaOhNo  ?
17182,empty,"if i make some madeleines, i need to have a bake sale or something. god. boredom needs to = something other than baking"
17282,empty,is about to go for a run.. in this weather..
17303,empty,@djmicdamn hey yu lil fucker i textd yu
17350,empty,"I got some games for the PS3, now I just have to wait...as usual...I still have some stuff that hasn't come in yet"
17466,empty,"@radinov BAH, you'be made me all hungry now"
17476,empty,Boo Im lonely and bored
17502,empty,Cleaning my room..
17610,empty,@understandblue DANG...when did they plant those thorny bushes there? OUCH...no kitty hugs today
17646,empty,"on my way out the door to finish putting veggie plants in my garden,after it was demolished by birds/rabbits last wk"
17785,empty,just get back home. the first exam was too long no time to finish it ...
17893,empty,Hoping my mom likes her pamper gifts I sent her
17919,empty,Breaking the daily build broke my daily plan as well
17973,empty,"@amiong factory ng Elmer's? hihihi. sorry, corny! baka si ate ruby, alam!"
18021,empty,"'Whats your stand on gay marriage?' - me. 'what the fuck natalie, stop asking me these gay ass questions! Go get a job!' - dad."
18074,empty,@YoungQ  ahhhh it won't let me watch the video on my phone
18096,empty,texting
18097,empty,"Here we go again, back to work. Happy Mothers Day to all  Peace"
18214,empty,have no line bi-focals for over 3 yrs now. End up taking glasses off to read close up.
18306,empty,@juandeleon1021 don't be mean....I'm having to give him to my brother this weekend
18317,empty,Dang I just dropped some of my subway on da floor... Ahh the 5sec rule passed already
18424,empty,@drami no its the same
18449,empty,Relaxing
18528,empty,In human anatomy bored out of my mindddd!  someone save me.
18544,empty,"@LBigs sooo, i saw RObs car drive by. but that was about it"
18559,empty,cant chu hear the echooooo-oooo??
18574,empty,Having Problems With My BlackBerry UGH I need another charged Battery! (@ least 4 now)  @sexyhunnybunny
18583,empty,is cursing AB's wardrobe handles. One drew blood
18646,empty,"@JerryShaw i tried changing my pic but twitter is a hater  im a doctor of awesome !! other than that, im just a medical assistant :]"
18708,empty,Piz's last lunch in b-dubb
18746,empty,@rowlikewow i think i hate you.  i didnt really want to but you make it hard for me to like you what with the cake and concert on the  ...
18776,empty,"I must have applied for about 20 jobs every day this week, why won't one of them contact me???"
18788,empty,@taraaverette You seem Cool
18846,empty,Today was sooo boring in school. I was sleeping all the time
18857,empty,@McCainBlogette Pretty sure you are hero status... You rock my socks Ms McCain.
18974,empty,Grounds himself from getting more toys...only cause I have officially ran out of room to place them
18989,empty,Just ordered an ASUS Eee PC.
19013,empty,"maxin' and relaxin', almost bed time"
19050,empty,"@LacesOutDan nah, he was acting like a dick - his show sucked last night"
19122,empty,@niariley follow me too
19128,empty,@hellorachael yep
19215,empty,Good night peeps! Give to your mom's the greatest love you have   xxx
19218,empty,"@thirstyfishinfo Speaking of fish, our company fish just died  RIP Julio"
19226,empty,Nooooothing to do tonight
19318,empty,Searching for a place where I can migrate.
19476,empty,@Jessmsmell im seeing this guy 2moro arvo after skl cus he asked me to
19505,empty,"@penitch come home, then. Not so boring here."
19521,empty,It's supposed to be even hotter today than yesterday.  Wearing shorts to work.
19559,empty,I don't want to program today
19597,empty,this is absurd ! I feel like a dipping in the pool real quick . its too bad i dont have a poool
19716,empty,Glenna is bored but glad that it is a beautiful day. Macy went swimming and Kris played golf while I sat at home waiting for them
19722,empty,Going to get some coffee
19743,empty,@xoxmillyxox 26th February
19765,empty,@finnmacool I am lost. Please help me find a good home.
19769,empty,I can't believe how tired I am right now... I don't know if I can go out tonight...   Exhaaaausted!!
19788,empty,@Shaunielove awww sowy shortie
19805,empty,@SaileshR How's the head this morning?
19837,empty,@TAG69 who wouldnt?
19859,empty,i would like some macaroni and cheese please....no?
19871,empty,Maybe going apartment shopping with Ashley?
19876,empty,@sickophantikmnd Exactly! Silent treatment is a great torture method
19951,empty,"@trishaelyca  not really, all in all, if im not mistaken, mga less than 1k each lng ang gastos namen..."
20006,empty,@lexia Or even listen to Susan's green policies
20026,empty,"@saryros haha.. yes, i'm jealous! i don't have money to do all that!"
20032,empty,"@mizzannabel im not a supermodel, i still eat mcdonalds baby thats just me!  xxx"
20127,empty,"nothing much, just chattin, and textn. you noe me; gosh i wanted to go see UP and Drag me to hell, but no one will go with me."
20203,empty,I need to be sleeping.. But i'm not even tired..
20219,empty,is home alone.. Doing hw
20289,empty,@Padmasree So are you going to watch Star trek or Wolverine..? I bet you are going to watch both  Right?
20354,empty,@TEAMLUDAJUICE you are just wrong!!! Now you've come to brag with a full belly??? Smh ...
20380,empty,oh God! Bicycle accident just across the street from our house. I think fatal. Cyclist died near same place 2 yrs ago. We need bike lanes
20415,empty,We expect One Man Band to be released sometime next week
20422,empty,@louisecherrie fab!!! although don't think anyone could measure up to the standard set by jason donovan  !!
20457,empty,sore throat. Planning the TET outing to Marwell though...good times
20536,empty,@_supernatural_ http://twitpic.com/4w8cw - Mishaaaaaaaa!!!
20583,empty,me knows what to be tested on all the exam subjects except for english. damn davis.
20589,empty,@GramaLindax4  Linda ~ What do you mean by your last post??  It doesn't sound good
20605,empty,oh yah her and angel came and harrassed me and tried to break in my house!! lol  Burgen
20646,empty,@TFEB nope  we only have one really good cuban place... i'll have to ask them...
20696,empty,is SOOOOO hungry right now! Should've eaten before this wedding.
20716,empty,@Tinkabellastar no. my school will start on June1.  two days to go. i still don't want. :l
20798,empty,@dapass  http://twurl.nl/goljwp is what i get when i try to add a new post
20831,empty,@WaylandSmalley Me neither. But it's no longer about what we want. It's about fairness. And fairness is whatever government says it is.
20872,empty,because it is too hot i am sleeping with the window open. just means all the noise will make me up early
20988,empty,"@shanselman still no class loaders, or even custom assembly loaders"
21180,empty,is leading dull life this Friday... Babysitting!
21187,empty,@ClaireBoyles good tip..... but then my boss would read .... exactly what im supposed to do and would know where I was with the project
21211,empty,@dexmans why windows vista
21332,empty,@softtouchme just answered you- never learned how to write in French- just basic stuff-
21336,empty,"@VANS_66 I haven't had slip-ons in years, since my checkered days. Matter of fact I only have my torn up all black classics."
21351,empty,@librariansti it's like the library equivalent of &quot;it's 5 o'clock somewhere.&quot; someone else in on the ref desk somewhere
21399,empty,"@capricorn_one ok, I realise your up early because you've joined the cult of mac, nvm"
21433,empty,@niza_kritt GPS location: http://bit.ly/SPW5s here I am
21448,empty,@gcrecords yes
21460,empty,@dougiemcfly me too
21603,empty,Watching twilight and eating potato salad.
21617,empty,@goodlemax can you send me two coldplay songs?  clocks and viva la vida.
21620,empty,2 days &amp; 5 text messages this month
21753,empty,@toddcnichols ~Congratulations Daddy
21913,empty,so i guess we r sleepin over.
21971,empty,"@harisn Damn! Lights off, its presentation time."
22039,empty,"@Chells oh, i have books on that but no practical experience"
22086,empty,"@lizzie4berries also bored at school, its my third freelesson( freistunde )"
22144,empty,You fooled me!
22146,empty,@qcmartinez That sucks  nobody wants to stay in and lounge? Or do something for free-99?
22172,empty,@poopiesanchez in clearwater
22255,empty,i dreamt about monsters last night.  like a little girl.
22343,empty,@KatieCeciil of course
22472,empty,"A singing girl. Talented, yeah. Good to complain about? No"
22553,empty,@tinacarlino no go on the bro down tonight for brett
22854,empty,@CyranDorman OK  Just a thought that occured to me...
22870,empty,Ugh... I definitely speak too soon...
22890,empty,@atomix I just see the video: &quot;All your base are belong to us..&quot;  Whatï¿½s going on??!
23055,empty,"@TomVMorris Tom, your FB link isn't working."
23073,empty,just woke up from a nap...
23090,empty,cleaning and packing
23160,empty,Delish  serendipity3
23193,empty,no bbq today  i guess a mini calippo will have to suffice
23207,empty,@Adam_Lambert Fans from outside the US wish they could vote for Adam too!
23248,empty,@peburns that's exactly what this mama is doing
23249,empty,@allyycase I'm trying to sleep!!! It's not working
23276,empty,@blitzio pic as promised  http://twitpic.com/4wqy4
23383,empty,Just came 11th in cross country and beat dumbo
23419,empty,At wrk  ...gtta come back tonite
23480,empty,"Having a hectic day travelling from PJ to UNITEN, back to PJ. Working now at CC office."
23490,empty,Is @ the pantry
23517,empty,@Den_Mom Maybe people would start looking for us... like &quot;where's Waldo&quot; but &quot;where's the CKC&quot;?
23538,empty,"@JeffTracey I have wacky on series link so it records for me automatically  I'm good, How you doing?"
23655,empty,"@Savoy41 oh naw; ill always be dha same cece, but when chanqes are needed ill make them"
23681,empty,Gooooood morning loves.
23753,empty,I'm leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.
23783,empty,@maetl Doing a Rainbow and Unicorn film then?  #48hours
23784,empty,@TheOriginalTeam Ooh can I have some? I'm hungry but I don't wanna get outta bed
23898,empty,"@Jessthemediocre...living in my studio, sounds very important ;) oh Mildura is totally boring!! Mhhh...whatever!  byeeee"
23966,empty,@RockabillyTees are you are a RIOT!!
24024,empty,"Do fish feel pain? Yes, says a new study.  http://is.gd/Jbcg"
24052,empty,"@alikat89 Awww, that sucks. Maybe it's on Youtube somewhere?"
24070,empty,@thatitaliangirl oh yeah
24076,empty,Too warm!!!
24140,empty,"@missjo_ladie haha, I've got my camera and lenses ready!"
24176,empty,It is possible to frown while eating a Frosty
24182,empty,@LittleLee yup! way to fucking early and I'm already at work
24207,empty,morning done my school work doing nothing all day now  what about u twitters
24221,empty,@shababi88 i love the game! that's my show... suuuppper pissed it got cancelled!
24254,empty,@Donny_B if you're in leeds you can have one from me
24334,empty,Anyone want a cooked Dan? I'm heating up in my bedroom.
24446,empty,@Bookwormlady2  are you not well?
24581,empty,Trying to get to sleep but mum is blaring Les Mis really loudly in the sitting room
24617,empty,@gk2007 Yu th? trang nï¿½y xem  http://bit.ly/kMxHk (recommended by )
24684,empty,"I love my daddy, but I don't want to go to his house today."
24703,empty,#pens...steigy...no politics hun...the obamas are not watching hockey
24726,empty,"I spent my free time over the last few days converting my server to 64bit, getting VT-x working etc just to get something to run. No Luck"
24751,empty,@pyrat_ ay beezy! finally lol its time to hookah so get off twiiter...love ya
24836,empty,"has had to reboot her laptop to factory settings, losing EVERYTHING in the process."
24867,empty,http://twitpic.com/67nxe - Yeah..I'm bored XD I pic up this photo when I still have my guitar..today my mum steam me it  I miss Nameless..
24959,empty,"@Lacrimae Pfft, there you go with the logic again!"
25002,empty,@trinibwoy718 awww my trini no esata bien bendito  too bad i cant fly in and make u feel better
25092,empty,@Sunflowerygirl especially if you're with a vampire
25173,empty,Ok i mean this with no disrespect........ FUCK THAT!
25231,empty,"????? ,my latest obession."
25261,empty,just had a falling out with nick
25282,empty,@kathyclugston Just investigated whether I could change my username to Ermintrude - someone's already nabbed it
25317,empty,Well. The jag just took a shit on my way home from training  I hope it's just the alternator.
25517,empty,@kimberMuffin
25602,empty,@juicystar007 Both of you
25678,empty,@ernymi Aural goodness
25781,empty,sleep? what's sleep again? I've seem to have forgottten the meaning. too much on my mind. or it's just my usual insonmia.
25814,empty,off to sleep  on 2 katy perry songs as soundtrack  x
25842,empty,@tom_pollard I have no denial for this because it is the fucking truth
25857,empty,@carocat i just do it rarely..usually i post it in two tweets with contd written. mostly people dont go to the linked site
26006,empty,Is it the weekend yet...?
26067,empty,@fareforward   do you need to go on a bike ride?
26129,empty,reaaaallly bored
26208,empty,"christian lacroix, and one of our on-off clients, gone bust.  http://tinyurl.com/kv653j"
26216,empty,"@pokeymcslow if he did, he would say hi."
26273,empty,"Ok, sending me messages asking to set my blog live won't work (linked to my developing website)! Take a tip from @natazzz and be patient!"
26295,empty,feels sickly. i need a personal assistant to keep fast food away from me! any takers?
26315,empty,CAKE is sold out at terminal 5
26393,empty,Not found: the thing I was looking for
26405,empty,@Matt_D_ happy birthday
26496,empty,Excuse me ms.gomez who said you could leave
26624,empty,@shydgn ???? ?? ???? ??? ???????
26627,empty,@_Cheshire_Cat_
26636,empty,@One_Bloody_Poet What's the matter?
26662,empty,Just made the perfect fried egg
26789,empty,"tired as heck, i wanna go home and sleep but i cant cause im have to be at the wash till my daddy gets off work."
27032,empty,Wtf was that crap 5 mins before the marked closed...FAZ you cost me 4 grand
27102,empty,I want it to be Wednesday already so I can hurry up and go to New Zealand so I'm busy and not sitting here bored and stressing
27205,empty,@alisonhaislip I envy everyone on AOTS...
27320,empty,"@rosieeejones sorry  i dont think her crying was fake, i just dont see why she was...and i dont think its fair she gets another chance..."
27372,empty,@lucyliz dont worry im not!!! i dont get it on my tv
27465,empty,has a saw thumb from playing Virtua Tennis...
27481,empty,@davidarchie I couldnt come to see you in Southend on the 2nd as I couldnt get the tickets :[ Ill have to come see you when you solo tour
27634,empty,@Dameunited thanks well impressed it's much better than my last one ! must b the clean living + Gluten free lactose free food
27692,empty,@Bethsybsb
27733,empty,@BerinKinsman Does this happen every monday?
27779,empty,@OhSweetNibblets ok thanks  do you like my new pic? http://twitpic.com/4jewc
27889,empty,@emiug how is your coding going?
27948,empty,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
27961,empty,@shelbyelizabeth hasn't shipped yet  I won't get over there until at least 7. I'll call you.
28038,empty,@QueenQH D= indeed
28084,empty,"@awaisnaseer always write holy words in capital dude, ALLAH HAFIZ !"
28085,empty,I'm still waiting for the Oprah touch
28108,empty,Waitin for the man to get home so he can take me out !!!! been waitin 4 hours
28180,empty,http://twitpic.com/665w2 - see miles away
28204,empty,"@soumen08 I know you won't keep a wild dog, or else you won't be able in the situation to use Mandriva in your life."
28207,empty,Sooo tired and have a headache-all self inflicted of course! Good times though
28212,empty,loads of insects are attacking me.. time to go inside
28223,empty,@Hyperopia Hi Ok i hope its head comes out of the clouds for you&gt; i love Meadowbank shopping center
28270,empty,"Esse ï¿½ o Wolverine que eu conheï¿½o http://tinyurl.com/c577ny , by noiva @tharcy!"
28276,empty,@DeAnnLR :::just got it cut yesterday  http://twitpic.com/66ncy
28281,empty,"@wrhunt and what did you do last night, I don't recall being invited"
28339,empty,"Woe, it's definitely NO fun to travel first class with a bike. You have to fight your way through 7 coaches 'til you reach your seat"
28366,empty,"Oh and thank alllll of you who put me in ur Follow Friday!!  to all of my new followers I usually do it, but today...I'm just too tired!"
28418,empty,@exortabreedoll what happen to the maids of yours? Quit once again? ...
28434,empty,@Jayce_Kay Morning! Hows your day. Hope you're not another lying in the sun
28440,empty,got my wisdom teeth removed it hurts.
28582,empty,@welshmermaid i might have been a child but i was NEVER one of THOSE .....and i've already apologised to you for it
28671,empty,I want a fake BLT....
28765,empty,up.....i nEEd coFFee. b0ut2get ready2start this new day in my lie
28773,empty,@klm I knew that. I attended an innovation seminar at Picnic 2007.
28898,empty,I fall asleep and didnt get to see the jonas brothers web cast  ... Still tierd
28920,empty,@Lo_Bosworth hey Lo!!!!
29109,empty,@catticho diego? i know lo ame a jack
29159,empty,@theDebbyRyan i left you some messages  -alyssaBRUNO&lt;3
29246,empty,@afwife08 nope! not comin up 2nite gurl!
29267,empty,just doin some jammin
29359,empty,ya could hit me up on aim or here cause i am mad bored nuttin 2 do
29499,empty,Ugh sittin at work waiting for the carpets to be cleaned.  I was suppose to be out by 7
29515,empty,Good morning
29543,empty,I had to unhook twitter from Facebook because all my Facebook cronies were complaining.
29583,empty,WTF rehearsal  off  got to space and room was booked and the  brothers have stuff right after so we cant transfer to another room studio
29606,empty,Thanks for pointing out the crucial problems @thakkar. Both of them have been taken care of  (cc: @Netra)
29639,empty,@lownleeeynjul oh that stinks..
29794,empty,@jollyassjerk it's month end  I'm here till 11
29805,empty,Is ANYBODY up? .... I'm sooo bored!
29819,empty,you can't please everybody.  http://plurk.com/p/x32rz
29882,empty,so bored...
29888,empty,@lisa_d Zwarte maillot
29894,empty,"@trendscaping Check and check!   And yes, I did (and am)!"
29948,empty,@Lopimpson14 HELLOO
29959,empty,@VWRmurder Thanks
29966,empty,just sending a twitter from the club! i twittered u
29991,empty,@tatiiiiv me too Tatiiiii!!!
30030,empty,yellow for @meowkitty  ? http://blip.fm/~5z05g
30116,empty,@tvanderwell I have 3 computers all going now.  IE 7 on XP and IE 8 on Vista  all are still NO Shows!
30124,empty,Is not looking forward to the LSAT
30142,empty,Captain Jack is back
30212,empty,@marykeegin I've been here since 3 and i'm here for 8 more hours tomorrow
30232,empty,http://twitpic.com/4jco5 - The Result of working the Green/Black fingers...
30247,empty,Maybe i won't go for a run .. i have no running shoes
30305,empty,@sarahjlwest I ake it you're at work then and not lazing at home on a sunny bank holiday.
30364,empty,salt and vinegar
30406,empty,Watching Season 7 of GG!
30443,empty,@GeeNee08 nothing this time.  just got home. yah?
30516,empty,@johndpoole Not here in Stamford.
30525,empty,"@sampan22 they did,"
30645,empty,I wish I could go to E3.  Oh well....
30714,empty,@dahlhalla I'm only 6' 0&quot;
30829,empty,Making Banana Bread
30851,empty,"@cheerleaderlexy she interviewed us on books. I was gonna say something, but she was all &quot;Wait, I have something to say!&quot;"
30937,empty,Just came back from school.... Packing for my dad's house
30972,empty,Just got back from my first session at the gym with a PT. I'm sore allread
31036,empty,friends romans and country men lol ppl need 2 help me out and say i have twitter i dont have any friends   loner loner la da da
31069,empty,Money Laundering tip 5 - Sell the business or constructed hotel etc and take possession of your now clean money
31087,empty,@Twinklybird Ace @ the exams!
31137,empty,Just got the Nashville IHOP staff to hit the Dougie with me and Mayne. What a fucking night
31209,empty,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
31293,empty,@Naina @dinno so ur name is also Naina
31479,empty,@Shareka Happy birthday!
31603,empty,is fairly upset at the fact the twitter/bgt session will have to commence without Sam..
31675,empty,Fighting with Nagios configuration.  Great tool but the config is a bit of a labour
31734,empty,@DsBabyGirl  having a stressful morning! just got my computer back (crashed) - trying to reinstall everything.
31752,empty,"Tired, But glad its a bank holiday"
31889,empty,@richardpbacon Good choice
31894,empty,listening to music  was kostet der fisch ?! xD my mathsteacher has choose the wrong job... that's wrong grammar but a real fact !!
31904,empty,@mikerosenhouse did you run into someone I know this weekend?
31917,empty,@duckout Whole Earth Festival
32039,empty,Really wishes he had some spare cash to buy the new Punch Out for Wii
32110,empty,"These kids are terrible! If I was in Good Evans, I'd call Childline"
32162,empty,@yagelski Thanks for the tip on otherinbox...  It won't work with outlook for me...
32219,empty,"@EmmaGriffiths86 It's under Community.. I can't see it myself, but one of the moderators (Niandra) told me it was there"
32320,empty,I came with a q: &quot;any recommended hairdresser? U r full and they suggested me to others  &quot; His ego talked and I'm in d line
32331,empty,@BreakfastNews why thankyou  @chris_garner suggested Fannie Bay (but it is in Darwin)
32347,empty,Trader Joe's &quot;sushi&quot; is a fail.
32367,empty,"nothing much on tv, seen most of the good stuff...think i'll go to bed soon, but it's too hot to sleep"
32375,empty,constantly looking at the clockkk..come on 11pm!
32395,empty,intentando intentarlo ONCE AGAIN!
32485,empty,"@AchtungMusic haha. I know. Why are you up so early, then?"
32529,empty,@vavroom I'm the heir to the over draft
32532,empty,@runpaintrunrun @wordsnfixtures not Pimm's in a can?
32574,empty,at panera for lunch  byyy myself  aww
32661,empty,i am going to be staring at hello kitty's face at 3-9
32662,empty,@tremblah i wishhh!
32716,empty,@simonFerrari @meblair I thought @starbucks was against licensing stores bc it takes away from the experience they want to provide
32737,empty,bored bored bored. nothing to do today besides work at 5
32757,empty,@tommcfly Have a nice daaaay !
32789,empty,I dont wanna im to spanish today
32856,empty,@cassieventura I know how you feel cassie my cat went missing 3 weeks ago still have him on my display pic miss him so much
32979,empty,went to the beach and it started raining
33005,empty,headed to the hospital. i can't take the pain anymore
33014,empty,"@TammyMunson I have a 2nd monitor I could use but not sure I'll be able to hook it up! Need to make sure I have the room, sure hope so!"
33061,empty,Starting to get annoyed with socialscope. Need an update
33130,empty,@arjbarker A+ for effort though  http://bit.ly/Mco5v
33158,empty,20 John: @johnhaydon: @TheDailyBlonde  http://tinyurl.com/cq5nkp
33159,empty,"Google going down means DoubleClick goes down too, means I can't get any work done."
33292,empty,"@FairyChica78 Aw, that stinks, I'm sorry."
33316,empty,@_MeesLovesYou_ Grounded from the computer... sucks for you.
33333,empty,"@jenthegingerkd @c2s @cjewel @JenSchaller I like fridays generally, but class is extended today  and I'm starving :X haha &lt;/whine&gt; O:-P"
33363,empty,work work work
33370,empty,"Going to REtake my Softball photo because Patrick's Studio is a piece of shit. Back here for chores. Some Friday, huh?"
33426,empty,@MrNutt blues for me please
33444,empty,"@timwhitlock err you can turn on optimized js+css &amp; caching once we deploy the thing, but I hear what you're saying"
33527,empty,"@BenKasica Iowa is like that sometimes, it gets frustrating."
33546,empty,"sittin here bored az hell...nuffin 2 do at lyk 3:30 in da morning in monroe,louisiana!!!"
33628,empty,@DonnieWahlberg what if we are in England?  x
33656,empty,@PinkTribble I do not consider myself to be an estate agent
33700,empty,@julcal
33704,empty,I'm bored at work
33743,empty,"I had 2 buy a new washer, bought the dryer 2.  Dryer labeled electric but is gas   GRRR.  Now we have 2 load it up tomorrow 2 return it."
33753,empty,@pratikjain4 welcome
33885,empty,"Just watched Mall Cop. Wasn't that funny, but wasn't too bad. I guess. I kinda wish I still worked at a movie theater...."
33900,empty,Wanting to leave work early today but stuff keeps accumulating.  this Friday is so a Monday in disguise. lol
33935,empty,@Flesheater
33958,empty,Took a short nap now Im ready for work. My sun burn hurts
33982,empty,waiting for my mom to get home
33987,empty,San Francisco traffic lights hate me.
34062,empty,i just read online that a symptom of sleeping too much is headaches throughout the day. i have had a headache all day.
34175,empty,@_Glitter_  kk but 4 sum reason its not lettin me vote 4 them
34211,empty,Eu to com fome
34228,empty,Hoping I hear something soon about Krystles surgery
34232,empty,@emuhleepee Why?
34328,empty,@AliBee16 *waves* not quite some of us are still lounging around   How are you this morning?
34371,empty,I forgot to complain about Southwest not doing preboard for families any more.  Was the worst part of travelling
34410,empty,@godskiwi lol  I'm sure it would be the most kick azz version we've ever heard!
34442,empty,@hannybfirst wEe ArR SoWbUr i PrOmIsS. tHe StYoOpId FlYiNg ThInG hAzZuNt KuM OwT aGaNe. iTt Iz hYdInG sUmWaRe aNd LaRfFiNg aTt Us.
34558,empty,Walking from Teignmouth to Dawlish   http://twitpic.com/4jf4k
34577,empty,I don't saw the movie
34728,empty,@nick_carter THE LINK DOESNT WORK
34747,empty,FREE UNLIMITED RINGTONES!!! - http://tinyurl.com/freeringring - USA ONLY - Awesome 4 iphone
34799,empty,0
34810,empty,@kandeebx i HaVe 2 Get OuT This HoUse
34884,empty,&amp;not gonna lie. it's 60 degrees in here. thanks for leavin me your sweater molly. brrrrr
34932,empty,Can't even tell you how much this hair dresser is pissssssing me off she has no clue wtf I'm asking her to do..so I'm expecting the worst
35189,empty,Studio Ghibli for this year; Ponyo! http://bit.ly/whar8 as always it seems to be perfect  we'll be waiting till august for it
35196,empty,@marychapman awwww  bew! you wont be here at all this summer?
35225,empty,@tommcfly  and you only respond to ddlovato that is not your fan
35232,empty,Getting ready to go to the comedy club and listening to some Q-Tip  Who's on iChat or Skype right now? I need an outfit critique
35233,empty,@cgervcracker that wasn't nice
35328,empty,i'm searching followers
35360,empty,in IT-lesson at school and eating salad
35390,empty,d? ?oï¿½n mï¿½nh s? coi cï¿½i nh?c k?ch nï¿½y 3 l?n ?? n?m b?t ???c g?n ??y ?? tinh th?n vï¿½ cï¿½c khï¿½a c?nh c?a nï¿½
35399,empty,"Legend of Inotia ??????? ??????. ?????? ???????. ???? ??????? 31? ?????, ????? ?????? ???. ????????? ???? ?????? ????? ??????? ??????????"
35511,empty,"@Bvictor Nerves I think, Im not sure"
35534,empty,"Friday evening......what to do, what to do.  I have to idea."
35545,empty,@robert_avalos lucky ass bitch I am stuck at work
35612,empty,@Catwoman123 Something like that
35621,empty,@SplinteredMind then am anticipating the next ten days!
35698,empty,Watching jackass the movie  http://twitpic.com/4wlgi
35700,empty,"@usagijen I didn't like the new Terminator movie, man"
35707,empty,Just got up with @Vinn0sx
35760,empty,@iamjonathancook
35795,empty,@gk2007: bibi em  Th? lï¿½ 1 chï¿½m dï¿½u ?ï¿½ ra ?i...
35835,empty,"@ElvisHsiao Twitter doesn't have photo support built in, but I welcome you to try my website http://woo.sh to share the photos"
35840,empty,@RedBaff no wine here - I don;t drink  - but I have have plenty of forbidden cholocate
35857,empty,http://www.miss-hudgens.com/?p=28 Nessa is 27# on Maxim Magazine's Hot 100 of 2009
35864,empty,@KenRamirez Hi Ken ... checking in quickly and checking back out. Will be around all day tomorrow tho if u need something
35941,empty,ok ok ok yall do me 1 more favor..... plz follow @dopeguhxfresh  .... i'll owe u lol
35973,empty,my bf had to go to her dads for the week end. i will have 2 full days of bordom.
35977,empty,Chilling with some tv quite bored at the moment
36032,empty,Sitting in on a Friday Night Bored
36105,empty,When God created man i also believed he created a million people to get on ya tits for a laff
36122,empty,at work doing website stuff with a slight fever and tiny headache
36143,empty,Trying to sleep but it's too hot!
36164,empty,Talk at you all lates!
36189,empty,@ShakeYourJunk
36293,empty,"Plan, successful?"
36335,empty,@kgthagreat yea tre hood claim thats atl theme song which it aint!! lol  but its a youtube vid. that i posted yesterday
36337,empty,lotsa water. it's already dark out
36372,empty,Missy higgins kate voegele grace potter and the nocturnals
36397,empty,@Chris_pinkapple Not much on for the weekend here. Off to Knox shortly &amp; definitely must get into the garden. It's a wee bit neglected.
36437,empty,FML i just spilled my entire can of diet coke IN MY LAP. yay
36470,empty,At tempe marketplace waiting to see Star Trek.
36509,empty,@brian_jenkins nothing yet
36606,empty,Awake at 4am..  can't sleep
36665,empty,"@DeezyG But Chevy &amp; Chrysler may soon be owned by the Italians, and they're not Communist"
36684,empty,@DonnieWahlberg and now I have to shut computer down and get ready to go home from work....what a bummer.
36687,empty,"@endlessblush I was ready half an hour ago, but you didn't notice. I'm over it now."
36728,empty,was on the verge of buying a Black AKC British Lab for $599 today... then the apartment complex overruled it....  dumb.
36769,empty,"Not paying attention at school, more distracted on browsing on Pokernews"
36822,empty,@Kaelex you're back?
36930,empty,He put a fuckin mohawk in my son head.....he just killed my vibe as always
36951,empty,@kristen7cream well done!!
36993,empty,"@ianiv No, it's not"
37161,empty,dont wanna cry  but the seniors are out there graduating&amp;its breakin my heart;but im home
37233,empty,Tropical Depression 1 heading east. MrSal65 scared this one off   Welcome to start of Hurricane Season '09.  Still looking 4 more FL subs.
37275,empty,Needs a new phone
37347,empty,Goddamn bloody stress and shit sending my body haywire
37450,empty,So my coworker/friend told me the manager who sent me home is afraid she's in trouble for sending me home haha. Dumb bitch
37451,empty,Chino - Gentleman Jack is pouting because Mommy is gone to dinner.  http://apps.facebook.com/dogbook/profile/view/6891977
37452,empty,So why did my internal alarm clock wake me @ 630am?? I have another hour before my external alarm goes off! I'm wide awake tho??
37465,empty,"what the hell am i doing awake this early,"
37480,empty,"gotta get used to pocketwit now, damn you twikini"
37491,empty,"While @mattcutts on vacation, @nytimes having golden times spamming Google by 5.350 redirects. http://bit.ly/18kwzh"
37550,empty,@Dojie oooh lush. i cant sunbathe i burn way to easily even with sun cream  @sofisticat im great thanks lovely sunny day no?
37615,empty,@SmilinNursAnnie Good Morning Rock Star Nurse
37632,empty,heyheyheyheyehyeyyyyyyyyyyyyyyyy noo tokio hotel tshirts im friad omg shame
37642,empty,dog just farted  so bad.....
